subject,trial,condition,priming,accuracy
4,2,easy,high_freq,correct
4,3,easy,high_freq,correct
4,4,easy,high_freq,correct
4,5,easy,high_freq,incorrect
4,6,easy,high_freq,incorrect
4,7,easy,high_freq,correct
4,8,easy,high_freq,incorrect
4,9,easy,high_freq,correct
4,10,easy,high_freq,correct
4,11,easy,high_freq,correct
4,12,easy,high_freq,incorrect
4,1,difficult,high_freq,incorrect
4,2,difficult,high_freq,correct
4,3,difficult,high_freq,incorrect
4,4,difficult,high_freq,correct
4,5,difficult,high_freq,correct
4,6,difficult,high_freq,incorrect
4,7,difficult,high_freq,incorrect
4,8,difficult,high_freq,incorrect
4,9,difficult,high_freq,correct
4,10,difficult,high_freq,incorrect
4,11,difficult,high_freq,incorrect
4,12,difficult,high_freq,incorrect
4,1,easy,low_freq,correct
4,2,easy,low_freq,correct
4,3,easy,low_freq,correct
4,4,easy,low_freq,incorrect
4,5,easy,low_freq,correct
4,6,easy,low_freq,incorrect
4,7,easy,low_freq,correct
4,8,easy,low_freq,correct
4,9,easy,low_freq,correct
4,10,easy,low_freq,incorrect
4,11,easy,low_freq,incorrect
4,12,easy,low_freq,incorrect
4,1,difficult,low_freq,incorrect
4,2,difficult,low_freq,incorrect
4,3,difficult,low_freq,correct
4,4,difficult,low_freq,incorrect
4,5,difficult,low_freq,correct
4,6,difficult,low_freq,incorrect
4,7,difficult,low_freq,correct
4,8,difficult,low_freq,incorrect
4,9,difficult,low_freq,incorrect
4,10,difficult,low_freq,incorrect
4,11,difficult,low_freq,incorrect
4,12,difficult,low_freq,correct
5,1,easy,high_freq,correct
5,2,easy,high_freq,correct
5,3,easy,high_freq,correct
5,4,easy,high_freq,incorrect
5,5,easy,high_freq,correct
5,6,easy,high_freq,incorrect
5,7,easy,high_freq,incorrect
5,8,easy,high_freq,correct
5,9,easy,high_freq,correct
5,10,easy,high_freq,incorrect
5,11,easy,high_freq,incorrect
5,12,easy,high_freq,correct
5,1,difficult,high_freq,correct
5,2,difficult,high_freq,correct
5,3,difficult,high_freq,incorrect
5,4,difficult,high_freq,incorrect
5,5,difficult,high_freq,incorrect
5,6,difficult,high_freq,incorrect
5,7,difficult,high_freq,incorrect
5,8,difficult,high_freq,incorrect
5,9,difficult,high_freq,incorrect
5,10,difficult,high_freq,correct
5,11,difficult,high_freq,incorrect
5,12,difficult,high_freq,correct
5,1,easy,low_freq,correct
5,2,easy,low_freq,correct
5,3,easy,low_freq,correct
5,4,easy,low_freq,incorrect
5,5,easy,low_freq,correct
5,6,easy,low_freq,incorrect
5,7,easy,low_freq,correct
5,8,easy,low_freq,correct
5,9,easy,low_freq,correct
5,10,easy,low_freq,incorrect
5,11,easy,low_freq,correct
5,12,easy,low_freq,correct
5,1,difficult,low_freq,correct
5,2,difficult,low_freq,incorrect
5,3,difficult,low_freq,correct
5,4,difficult,low_freq,correct
5,5,difficult,low_freq,incorrect
5,6,difficult,low_freq,incorrect
5,7,difficult,low_freq,correct
5,8,difficult,low_freq,correct
5,9,difficult,low_freq,incorrect
5,10,difficult,low_freq,incorrect
5,11,difficult,low_freq,incorrect
5,12,difficult,low_freq,incorrect
6,1,easy,high_freq,incorrect
6,2,easy,high_freq,correct
6,3,easy,high_freq,correct
6,4,easy,high_freq,correct
6,5,easy,high_freq,incorrect
6,6,easy,high_freq,correct
6,7,easy,high_freq,correct
6,8,easy,high_freq,correct
6,9,easy,high_freq,correct
6,10,easy,high_freq,incorrect
6,11,easy,high_freq,correct
6,12,easy,high_freq,incorrect
6,1,difficult,high_freq,correct
6,2,difficult,high_freq,correct
6,3,difficult,high_freq,incorrect
6,4,difficult,high_freq,incorrect
6,5,difficult,high_freq,incorrect
6,6,difficult,high_freq,correct
6,7,difficult,high_freq,incorrect
6,8,difficult,high_freq,incorrect
6,9,difficult,high_freq,correct
6,10,difficult,high_freq,correct
6,11,difficult,high_freq,correct
6,12,difficult,high_freq,incorrect
6,1,easy,low_freq,correct
6,2,easy,low_freq,incorrect
6,3,easy,low_freq,correct
6,4,easy,low_freq,incorrect
6,5,easy,low_freq,correct
6,6,easy,low_freq,incorrect
6,7,easy,low_freq,incorrect
6,8,easy,low_freq,correct
6,9,easy,low_freq,correct
6,10,easy,low_freq,incorrect
6,11,easy,low_freq,correct
6,12,easy,low_freq,correct
6,1,difficult,low_freq,correct
6,2,difficult,low_freq,incorrect
6,3,difficult,low_freq,incorrect
6,4,difficult,low_freq,incorrect
6,5,difficult,low_freq,incorrect
6,6,difficult,low_freq,incorrect
6,7,difficult,low_freq,incorrect
6,8,difficult,low_freq,correct
6,9,difficult,low_freq,correct
6,10,difficult,low_freq,incorrect
6,11,difficult,low_freq,correct
6,12,difficult,low_freq,incorrect
7,1,easy,high_freq,incorrect
7,2,easy,high_freq,incorrect
7,3,easy,high_freq,incorrect
7,4,easy,high_freq,incorrect
7,5,easy,high_freq,incorrect
7,6,easy,high_freq,incorrect
7,7,easy,high_freq,incorrect
7,8,easy,high_freq,correct
7,9,easy,high_freq,incorrect
7,10,easy,high_freq,correct
7,11,easy,high_freq,incorrect
7,12,easy,high_freq,correct
7,1,difficult,high_freq,correct
7,2,difficult,high_freq,incorrect
7,3,difficult,high_freq,incorrect
7,4,difficult,high_freq,incorrect
7,5,difficult,high_freq,incorrect
7,6,difficult,high_freq,correct
7,7,difficult,high_freq,correct
7,8,difficult,high_freq,incorrect
7,9,difficult,high_freq,incorrect
7,10,difficult,high_freq,correct
7,11,difficult,high_freq,incorrect
7,12,difficult,high_freq,incorrect
7,1,easy,low_freq,correct
7,2,easy,low_freq,incorrect
7,3,easy,low_freq,incorrect
7,4,easy,low_freq,correct
7,5,easy,low_freq,correct
7,6,easy,low_freq,incorrect
7,7,easy,low_freq,correct
7,8,easy,low_freq,correct
7,9,easy,low_freq,incorrect
7,10,easy,low_freq,incorrect
7,11,easy,low_freq,correct
7,12,easy,low_freq,incorrect
7,1,difficult,low_freq,correct
7,2,difficult,low_freq,incorrect
7,3,difficult,low_freq,incorrect
7,4,difficult,low_freq,correct
7,5,difficult,low_freq,incorrect
7,6,difficult,low_freq,correct
7,7,difficult,low_freq,incorrect
7,8,difficult,low_freq,incorrect
7,9,difficult,low_freq,correct
7,10,difficult,low_freq,correct
7,11,difficult,low_freq,correct
7,12,difficult,low_freq,incorrect
8,1,easy,high_freq,incorrect
8,2,easy,high_freq,correct
8,3,easy,high_freq,correct
8,4,easy,high_freq,incorrect
8,5,easy,high_freq,correct
8,6,easy,high_freq,correct
8,7,easy,high_freq,incorrect
8,8,easy,high_freq,correct
8,9,easy,high_freq,incorrect
8,10,easy,high_freq,incorrect
8,11,easy,high_freq,correct
8,12,easy,high_freq,correct
8,1,difficult,high_freq,correct
8,2,difficult,high_freq,correct
8,3,difficult,high_freq,correct
8,4,difficult,high_freq,correct
8,5,difficult,high_freq,correct
8,6,difficult,high_freq,correct
8,7,difficult,high_freq,incorrect
8,8,difficult,high_freq,incorrect
8,9,difficult,high_freq,incorrect
8,10,difficult,high_freq,correct
8,11,difficult,high_freq,correct
8,12,difficult,high_freq,correct
8,1,easy,low_freq,incorrect
8,2,easy,low_freq,correct
8,3,easy,low_freq,correct
8,4,easy,low_freq,incorrect
8,5,easy,low_freq,incorrect
8,6,easy,low_freq,incorrect
8,7,easy,low_freq,incorrect
8,8,easy,low_freq,incorrect
8,9,easy,low_freq,incorrect
8,10,easy,low_freq,correct
8,11,easy,low_freq,incorrect
8,12,easy,low_freq,incorrect
8,1,difficult,low_freq,incorrect
8,2,difficult,low_freq,incorrect
8,3,difficult,low_freq,correct
8,4,difficult,low_freq,incorrect
8,5,difficult,low_freq,correct
8,6,difficult,low_freq,correct
8,7,difficult,low_freq,correct
8,8,difficult,low_freq,correct
8,9,difficult,low_freq,correct
8,10,difficult,low_freq,correct
8,11,difficult,low_freq,correct
8,12,difficult,low_freq,incorrect
9,1,easy,high_freq,correct
9,2,easy,high_freq,incorrect
9,3,easy,high_freq,incorrect
9,4,easy,high_freq,correct
9,5,easy,high_freq,incorrect
9,6,easy,high_freq,incorrect
9,7,easy,high_freq,correct
9,8,easy,high_freq,incorrect
9,9,easy,high_freq,incorrect
9,10,easy,high_freq,correct
9,11,easy,high_freq,incorrect
9,12,easy,high_freq,incorrect
9,1,difficult,high_freq,incorrect
9,2,difficult,high_freq,correct
9,3,difficult,high_freq,correct
9,4,difficult,high_freq,correct
